customer_id,birth_year,education_level,marital_status,annual_income,num_children,num_teenagers,registration_date,days_since_last_purchase,spend_wines,spend_fruits,spend_meat,spend_fish,spend_sweets,spend_gold,deals_purchases,web_purchases,catalog_purchases,store_purchases,monthly_web_visits,has_complaint,target
0,1993,Bachelor,Single,70515.0,0,0,2013-10-21,12,420,0,452,182,64,140,1,6,6,4,2,0,1
1,1983,Doctorate,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0
2,1992,Master,Single,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0
3,1962,Doctorate,Partner,56067.0,0,1,2013-07-20,51,517,12,54,16,6,120,2,7,4,7,5,0,0
4,1967,Doctorate,Partner,56575.0,0,2,2013-05-05,42,421,5,90,0,16,10,3,7,3,7,5,0,0
5,1971,Bachelor,Single,22804.0,1,0,2013-07-31,75,14,1,7,2,1,1,1,2,0,2,9,0,0
6,1986,Bachelor,Married,38508.0,1,0,2013-02-08,95,120,19,206,25,19,54,6,7,2,5,8,0,0
7,1964,Doctorate,Single,61798.0,0,0,2013-11-23,13,338,4,89,11,8,13,1,4,2,9,4,0,0
8,1985,Bachelor,Single,66503.0,1,0,2012-08-14,30,91,64,128,65,3,50,2,4,3,6,3,0,0
9,1995,Bachelor,Single,34824.0,0,0,2014-03-26,65,4,2,11,2,0,4,1,1,0,2,6,0,0
10,1983,Doctorate,Married,23536.0,1,0,2014-04-06,53,6,0,3,0,0,1,1,0,0,3,3,0,0
11,1974,Master,Married,83891.0,0,1,2014-06-20,24,217,38,350,111,85,15,1,4,7,10,1,0,0
12,1958,Doctorate,Partner,77863.0,0,0,2013-11-27,20,881,38,319,16,25,12,1,4,5,10,2,0,0
13,1940,Doctorate,Single,51141.0,0,0,2013-08-07,96,144,0,7,0,0,6,1,3,1,4,5,0,0
14,1978,Bachelor,Partner,41580.0,1,1,2012-10-12,15,56,5,24,4,0,3,3,2,1,3,5,0,0
15,1969,Doctorate,Partner,53374.0,0,1,2012-08-16,34,896,10,101,13,10,34,6,4,2,9,9,0,1
16,1972,Doctorate,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0
17,1975,Bachelor,Widowed,58330.0,0,1,2013-12-25,87,445,53,213,104,98,151,1,6,4,13,4,0,0
18,1973,Bachelor,Married,92955.0,0,0,2013-08-19,35,693,21,925,31,24,84,1,6,7,9,2,0,1
19,1960,Master,Single,98777.0,0,0,2014-02-17,23,1000,19,711,125,115,38,0,4,6,9,1,0,0
20,1955,Bachelor,Married,74268.0,0,0,2013-02-14,83,199,66,315,97,174,41,1,4,3,5,2,0,0
21,1961,Bachelor,Married,79410.0,0,0,2014-05-29,19,658,80,483,123,13,13,1,3,2,5,1,0,0
22,1974,Associate,Partner,49669.0,1,0,2014-05-24,97,166,5,107,11,8,29,2,5,1,6,6,0,0
23,1967,Bachelor,Partner,65777.0,0,0,2013-12-19,87,565,32,435,28,32,54,1,2,8,6,1,0,0
24,1976,High School,Divorced,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0
25,1970,Bachelor,Partner,22070.0,1,0,2013-04-10,11,10,7,19,8,2,21,2,2,2,2,6,0,0
26,1972,Bachelor,Married,56721.0,1,1,2012-10-31,64,157,6,39,6,13,75,5,4,1,5,6,0,0
27,1945,Doctorate,Single,45576.0,0,0,2014-05-28,9,56,19,29,2,14,25,1,3,1,3,8,0,1
28,1986,Bachelor,Married,32880.0,1,0,2012-04-12,76,8,4,15,7,6,2,1,1,0,3,8,0,0
29,1984,Bachelor,Single,11012.0,1,0,2013-03-16,82,24,3,26,7,1,23,3,3,1,2,9,0,0
30,1969,Bachelor,Married,80952.0,0,0,2013-02-28,20,778,178,689,41,27,44,1,8,5,11,8,0,1
31,1984,Bachelor,Single,34738.0,1,0,2014-11-05,51,3,2,10,3,0,2,1,1,0,3,6,0,0
32,1983,Doctorate,Single,87188.0,0,0,2013-03-06,73,910,111,724,49,74,55,1,10,2,6,3,0,1
33,1953,Bachelor,Single,69267.0,0,0,2012-09-22,31,778,44,499,95,73,146,2,3,4,5,7,0,1
34,1954,Bachelor,Married,86718.0,0,0,2013-01-17,20,344,189,482,50,33,172,1,5,6,5,2,0,0
35,1978,Bachelor,Partner,42011.0,1,0,2013-03-26,46,131,0,16,2,1,39,4,3,1,4,8,0,0
36,1972,Doctorate,Partner,62220.0,0,1,2012-11-08,55,799,12,375,16,12,12,5,7,6,5,6,0,1
37,1967,Bachelor,Partner,27943.0,1,1,2013-04-15,89,12,1,16,4,1,3,3,2,0,3,8,0,0
38,1964,Doctorate,Married,59304.0,0,1,2013-07-29,81,418,61,428,80,51,10,3,7,8,10,5,0,0
39,1974,Bachelor,Partner,44392.0,1,1,2013-05-09,71,87,5,71,7,12,29,5,4,1,4,7,0,0
40,1965,Bachelor,Married,61482.0,0,0,2014-06-27,39,48,58,68,16,66,43,1,3,2,6,2,0,0
41,1973,Master,Married,60432.0,0,1,2014-09-03,61,365,3,15,4,3,11,5,7,2,5,6,0,0
42,1951,Bachelor,Divorced,22263.0,1,1,2014-03-30,31,17,0,2,0,0,2,2,1,0,3,6,1,0
43,1973,Associate,Married,23559.0,1,0,2013-03-07,87,25,5,19,7,0,23,3,3,0,3,7,0,0
44,1947,Doctorate,Partner,73059.0,0,1,2013-08-31,36,410,112,420,0,82,71,1,9,3,13,4,0,0
45,1965,Associate,Married,76800.0,0,0,2014-08-03,33,173,26,255,35,71,81,1,4,4,7,1,0,0
46,1963,Doctorate,Partner,33629.0,1,1,2012-08-08,49,132,0,16,0,0,4,5,3,1,4,9,0,0
47,1951,Bachelor,Partner,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0
48,1950,Doctorate,Widowed,56551.0,1,1,2014-07-05,48,67,4,32,17,2,16,3,2,1,4,4,0,0
49,1976,Bachelor,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0
50,1977,Bachelor,Married,42014.0,1,0,2012-08-17,56,244,15,108,4,15,50,6,7,1,6,8,0,1
51,1967,Bachelor,Partner,75702.0,1,1,2012-08-29,77,650,28,353,45,42,30,5,4,6,11,8,0,0
52,1986,Doctorate,Single,69867.0,0,0,2013-02-04,30,196,0,512,33,130,54,1,3,5,8,1,0,1
53,1964,Doctorate,Divorced,64140.0,0,2,2013-09-23,71,1459,0,61,0,15,215,5,2,5,6,5,0,1
54,1976,Bachelor,Married,17148.0,1,0,2014-01-28,80,9,9,11,13,10,16,4,3,1,3,8,0,0
55,1971,Doctorate,Single,60504.0,0,1,2014-07-02,73,458,0,24,6,4,34,2,6,2,8,6,0,0
56,1974,Doctorate,Partner,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,1
57,1975,Bachelor,Married,35797.0,0,1,2012-10-16,16,27,1,14,4,1,21,2,2,0,3,8,0,0
58,1981,Associate,Single,42395.0,1,1,2014-04-04,35,48,13,57,24,15,25,4,3,1,4,7,0,0
59,1969,Bachelor,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0
60,1962,Master,Single,72217.0,0,0,2013-10-04,93,816,42,450,55,56,154,1,3,10,8,2,0,0
61,1966,Bachelor,Single,37070.0,1,1,2013-03-20,30,231,7,137,4,15,39,9,5,1,8,7,0,1
62,1966,High School,Partner,22634.0,0,0,2013-01-16,47,2,23,11,8,6,46,1,2,1,2,8,0,0
63,1976,Bachelor,Partner,78416.0,0,1,2014-06-27,99,453,38,279,188,38,183,2,7,7,10,3,0,0
